"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jun 22 08:23:51 GMT 2024","Sat Jun 22 08:23:58 GMT 2024","6789","Chrome","tests/register.spec.ts","Create new user account","","","should be able to create a account",""
"passed","Sat Jun 22 08:23:50 GMT 2024","Sat Jun 22 08:23:56 GMT 2024","6530","Chrome","tests/login.spec.ts","Login tests","","","should be able to login","This test is to verify that user is able to login & logout successfully"
"passed","Sat Jun 22 08:23:51 GMT 2024","Sat Jun 22 08:23:58 GMT 2024","7016","Chrome","tests/register.spec.ts","Create new user account","","","shouln't be able to create a account with existing email",""
