"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jun 22 00:29:37 GMT 2024","Sat Jun 22 00:29:45 GMT 2024","7321","Chrome","tests/register.spec.ts","Create new user account","","","shouln't be able to create a account with existing email",""
"passed","Sat Jun 22 00:29:37 GMT 2024","Sat Jun 22 00:29:45 GMT 2024","7390","Chrome","tests/register.spec.ts","Create new user account","","","should be able to create a account",""
"passed","Sat Jun 22 00:29:36 GMT 2024","Sat Jun 22 00:29:45 GMT 2024","8635","Chrome","tests/login.spec.ts","Login tests","","","should be able to login","This test is to verify that user is able to login & logout successfully"
