"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Mar 09 05:14:20 GMT 2024","Sat Mar 09 05:14:24 GMT 2024","4577","Chrome","tests/register.spec.ts","Create new user account","","","shouln't be able to create a account with existing email",""
"passed","Sat Mar 09 05:14:14 GMT 2024","Sat Mar 09 05:14:19 GMT 2024","5594","Chrome","tests/register.spec.ts","Create new user account","","","should be able to create a account",""
"passed","Sat Mar 09 05:14:13 GMT 2024","Sat Mar 09 05:14:18 GMT 2024","5840","Chrome","tests/login.spec.ts","Login","","","should be able to login",""
