"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Mar 16 00:43:37 GMT 2024","Sat Mar 16 00:43:41 GMT 2024","3797","Chrome","tests/register.spec.ts","Create new user account","","","shouln't be able to create a account with existing email",""
"passed","Sat Mar 16 00:43:31 GMT 2024","Sat Mar 16 00:43:35 GMT 2024","4514","Chrome","tests/login.spec.ts","Login","","","should be able to login",""
"passed","Sat Mar 16 00:43:32 GMT 2024","Sat Mar 16 00:43:37 GMT 2024","4951","Chrome","tests/register.spec.ts","Create new user account","","","should be able to create a account",""
